abbreviation,region name,brain area,5MEO1 count,5MEO2 count,5MEO3 count,5MEO4 count,5MEO5 count,5MEO6 count,5MEO7 count,5MEO8 count,6-F-DET1 count,6-F-DET2 count,6-F-DET3 count,6-F-DET4 count,6-F-DET5 count,6-F-DET6 count,6-F-DET7 count,6-F-DET8 count,A-SSRI1 count,A-SSRI2 count,A-SSRI3 count,A-SSRI4 count,A-SSRI5 count,A-SSRI6 count,A-SSRI7 count,A-SSRI8 count,C-SSRI1 count,C-SSRI2 count,C-SSRI3 count,C-SSRI4 count,C-SSRI5 count,C-SSRI6 count,C-SSRI7 count,C-SSRI8 count,KET1 count,KET2 count,KET3 count,KET4 count,KET5 count,KET6 count,KET7 count,KET8 count,MDMA1 count,MDMA2 count,MDMA3 count,MDMA4 count,MDMA5 count,MDMA6 count,MDMA7 count,MDMA8 count,PSI1 count,PSI2 count,PSI3 count,PSI4 count,PSI5 count,PSI6 count,PSI7 count,PSI8 count,SAL1 count,SAL2 count,SAL3 count,SAL4 count,SAL5 count,SAL6 count,SAL7 count,SAL8 count
SPFp,Subparafascicular nucleus parvicellular part,Thalamus,2054,2054,4111,356,1928,656,2227,1603,353,1789,451,355,1355,262,351,658,436,1124,1788,1193,300,672,861,565,721,872,812,517,1090,924,1231,1009,1679,276,599,1632,1282,1996,1591,2358,1736,1873,1300,1688,1396,1437,1897,2219,918,648,916,1088,782,876,566,462,1141,788,838,89,1263,737,372,1776
SPA,Subparafascicular area,Thalamus,2106,1288,2716,900,1538,1184,2227,1373,1071,2494,720,345,1782,1190,499,1069,470,1778,2265,1091,768,1084,1369,235,715,1098,827,451,966,1014,1210,958,3130,1527,1779,4034,1381,2477,1933,2919,1769,1730,1233,1095,1329,1322,1301,1356,1118,857,571,1628,1404,820,1015,406,1187,1216,806,57,1730,1751,547,2375
VPMpc,Ventral posteromedial nucleus of the thalamus parvicellular part,Thalamus,1515,1365,1498,1189,1522,290,684,177,697,3660,185,1208,823,1448,819,592,173,1356,1208,722,473,861,957,376,539,838,993,508,834,1039,1290,593,238,143,138,1085,1871,1571,851,1634,1834,1867,1637,2276,1985,1335,2020,1850,640,579,662,1545,368,171,393,227,1448,334,784,20,421,203,163,1180
MG,Medial geniculate complex,Thalamus,2972,5808,6086,2614,2122,1021,5233,2579,899,7529,934,873,4047,1846,1088,1680,1075,2582,4057,2380,3100,1725,1060,934,428,1183,2497,683,1719,847,1380,1340,856,195,514,471,1776,3130,1248,2350,9396,8576,4738,10044,6542,9148,7223,10124,1263,1836,323,1667,894,235,280,374,1327,1633,612,645,166,101,160,596
PP,Peripeduncular nucleus,Thalamus,805,848,1060,261,808,916,1478,637,167,651,196,119,117,132,151,154,438,106,498,463,35,628,130,263,113,132,425,168,209,182,332,414,390,566,790,714,235,189,245,501,308,557,252,406,163,429,350,541,289,67,132,239,657,230,625,307,489,163,411,87,617,452,108,783
AM,Anteromedial nucleus,Thalamus,1676,1747,6302,1660,1479,1892,5102,1908,1058,7653,1287,917,4550,2583,517,2859,685,1778,4535,1969,2440,3298,1558,1291,315,1239,2435,978,1123,2021,3236,2300,371,1089,1622,2284,6925,6887,4372,9282,9893,10159,6757,8401,9245,8177,8799,7154,1098,1426,656,2945,443,967,481,395,2143,2347,1863,292,316,467,359,2169
AV,Anteroventral nucleus of thalamus,Thalamus,760,925,1660,190,694,928,1831,920,1057,6696,585,971,2078,1191,193,1298,621,1357,3746,1867,1407,1747,1609,433,416,629,1323,1100,1353,1860,3290,2362,162,262,319,152,2908,3640,2503,2966,9393,8691,4356,6334,7958,7665,7341,9513,657,653,462,1670,1340,422,299,166,870,929,1413,632,169,83,104,817
SGN,Suprageniculate nucleus,Thalamus,2074,3580,3664,740,1722,1102,1952,1427,575,2233,397,296,1455,779,659,650,272,1422,1822,1449,1780,910,414,424,364,771,1631,592,837,478,644,626,105,81,105,167,1169,1327,810,2697,4643,4139,2450,4264,3504,3859,2849,4456,641,542,208,700,134,64,27,40,582,784,364,198,46,6,15,135
AD,Anterodorsal nucleus,Thalamus,493,572,582,81,302,230,441,394,132,2654,187,520,415,442,302,335,426,617,873,540,243,214,659,300,127,146,676,244,274,293,459,419,162,233,5,243,698,885,608,954,748,1204,445,932,878,952,458,1108,187,24,364,375,531,120,142,61,212,27,540,59,126,28,18,178
PO,Posterior complex of the thalamus,Thalamus,1495,1122,1266,274,330,282,1625,409,121,19557,238,657,4166,278,785,3082,371,381,1001,181,1724,3399,388,1101,78,80,497,265,314,1606,948,1848,419,105,504,138,1055,7349,232,871,12611,6489,2399,9434,7368,7032,7311,13923,594,838,495,406,248,152,323,350,1195,1418,634,186,882,25,273,378
LP,Lateral posterior nucleus of the thalamus,Thalamus,4275,6081,5563,1027,2327,1943,2691,1165,893,15346,431,1140,3075,1472,2286,1608,1439,3461,5030,2170,2559,3530,1270,584,1170,1259,3580,1797,1354,3427,2856,2296,404,756,519,1637,5998,7139,3454,8423,21762,18356,7972,19157,20698,20325,13458,23601,1232,500,863,2260,1303,259,379,259,1517,1309,1180,263,617,95,482,501
LGd,Dorsal part of the lateral geniculate complex,Thalamus,2347,1008,2834,884,256,1565,2723,1275,1123,7494,1329,1178,3616,844,359,1337,844,1651,4059,1292,1306,1036,1548,792,268,1017,4862,1741,1245,2317,1408,1439,2203,885,1318,3264,1126,5254,1376,2551,12156,9776,3565,12643,13885,12364,9239,15270,1148,1909,494,1319,2061,1431,342,1332,1012,1960,595,1133,1871,329,353,1951
POL,Posterior limiting nucleus of the thalamus,Thalamus,3416,3027,4996,1020,2323,1505,3702,2006,636,2050,898,531,1914,1651,535,1054,773,2154,2443,1666,1041,1150,961,877,598,1231,1688,767,1358,1161,1390,1133,290,233,428,728,1261,2476,1639,3425,4234,4698,2990,3727,4535,4148,3393,4055,1490,1387,836,1473,521,195,192,310,1206,1141,658,322,163,92,95,276
VMH,Ventromedial hypothalamic nucleus,Hypothalamus,6627,6568,18845,6807,5973,8004,9152,2355,2012,2769,3848,5156,12181,3583,3725,2885,2005,5047,5730,4453,5431,2619,2588,2424,1278,2493,1838,2481,2271,2118,2069,1017,2636,5585,4933,10742,8398,6385,3683,9045,5590,8788,5955,3487,6533,5172,6148,4992,3494,1816,2280,4442,4857,4870,5500,3436,6451,1333,3067,945,4774,5250,3735,9704
MM,Medial mammillary nucleus,Hypothalamus,1567,1174,3183,246,688,1994,807,630,390,4180,1622,660,1001,2534,1083,672,1239,709,788,860,661,2821,426,845,234,484,493,392,715,373,282,210,209,509,290,319,330,952,550,1625,1746,3094,2709,1358,1536,1288,1808,2638,286,114,728,695,366,374,251,299,836,107,712,617,273,240,175,1103
SUM,Supramammillary nucleus,Hypothalamus,2706,1523,5692,505,1418,1591,2421,1164,279,2330,1107,1049,2981,1136,2058,1492,722,1674,2005,1727,1224,2623,1394,1228,740,1331,1331,1180,1133,1582,825,925,1798,4676,1679,3806,1187,993,1383,4979,1709,2996,2817,1926,1813,1446,1678,1841,903,467,1025,916,1487,1728,1701,619,2729,374,1027,521,2325,1066,1091,3883
TMd,Tuberomammillary nucleus dorsal part,Hypothalamus,459,589,766,148,314,164,645,117,121,243,324,283,382,341,290,177,215,356,465,314,257,440,230,155,130,322,382,168,199,285,266,94,200,124,247,381,293,273,225,563,283,539,344,219,243,98,345,187,124,88,292,251,128,187,155,216,216,47,175,44,175,194,147,230
TMv,Tuberomammillary nucleus ventral part,Hypothalamus,230,353,917,250,189,682,487,673,316,322,525,568,1432,560,815,457,379,183,199,224,165,823,181,959,217,286,72,136,140,21,45,2,1399,1375,614,676,322,328,185,948,361,614,481,525,111,476,283,592,8,164,171,348,702,558,454,665,636,268,622,505,1115,676,452,439
MPN,Medial preoptic nucleus,Hypothalamus,4544,4436,8935,4776,6196,7574,7170,3955,679,2903,2464,6358,8351,3027,3768,5399,2135,4518,4330,4266,3677,2380,3636,2751,1128,2616,2383,2165,3115,3541,5116,2796,5128,6123,2816,8549,3604,4844,3982,7521,5390,6034,4330,5360,6165,4950,5211,5604,1548,2956,2730,6120,3212,5060,4157,2189,4654,1427,3532,762,6494,6082,2338,9354
PMd,Dorsal premammillary nucleus,Hypothalamus,1343,1003,2829,284,975,813,1384,487,91,967,753,1254,1808,1974,1261,542,381,1307,2212,1509,1867,949,768,940,539,1302,1064,1104,618,766,963,451,909,2312,1132,1917,995,1762,1303,2880,536,1503,1130,453,656,383,540,649,541,663,730,1275,1167,1017,635,689,837,97,835,325,1597,375,842,1407
PMv,Ventral premammillary nucleus,Hypothalamus,2032,2274,5894,1395,2607,2126,2798,1432,876,863,2173,2545,6940,2348,2424,1537,1304,1318,1540,1118,2036,2693,1113,2606,789,2103,629,842,811,737,983,135,3321,4201,1689,3758,2370,1472,902,5308,1488,2202,2163,2126,2182,2345,2174,2025,425,989,1247,2343,2045,1914,2173,2139,2103,614,2496,1572,3468,2286,1275,3106
PVHd,Paraventricular hypothalamic nucleus descending division,Hypothalamus,1526,1104,3508,1413,1552,972,2820,934,533,1127,1566,990,2520,1395,808,1329,218,1217,1840,1681,2292,615,1058,909,460,955,1164,1010,913,1109,1654,1018,2531,2393,961,4134,1523,1807,1538,2536,1699,1929,1740,1509,1872,1290,1703,1379,807,1174,536,1677,1920,1845,2761,1543,2213,631,1142,102,1852,1462,571,4534
PH,Posterior hypothalamic nucleus,Hypothalamus,9912,5625,18303,7028,6628,6217,12066,4497,2590,7201,5375,5990,12413,8533,5327,6433,2823,8302,10145,7946,12013,7028,5180,4794,3562,5798,4944,5263,4564,7313,7928,4830,15433,17888,13087,23563,8844,11693,9616,18227,8453,10239,9382,7457,8474,7729,7617,7893,5435,5299,4659,8761,10731,10360,10977,6932,12973,5656,5691,932,14177,7609,6463,24124
LM,Lateral mammillary nucleus,Hypothalamus,24,87,163,11,88,569,151,144,40,407,362,109,43,305,72,236,245,72,29,71,73,716,63,144,37,46,23,22,66,16,21,8,38,48,52,24,12,132,16,73,137,227,232,156,61,32,109,350,6,46,125,99,83,56,24,48,97,34,108,186,18,12,25,46
LPO,Lateral preoptic area,Hypothalamus,2931,2842,5144,4161,5120,5987,4171,3387,655,3305,2071,2950,6841,2622,3207,5015,1703,2450,2698,2839,1992,1947,1584,2017,556,2091,1485,1557,2048,1646,2264,1203,1684,2450,2122,3363,2463,5215,1746,3907,2332,4332,3087,3058,3835,1556,3698,3383,1015,1272,1396,3002,1658,2531,2454,1324,3829,940,1987,245,2307,2034,1183,7953
PST,Preparasubthalamic nucleus,Hypothalamus,137,57,203,96,70,67,159,115,27,84,89,96,250,101,86,108,44,95,91,100,112,97,80,82,15,45,53,73,48,73,58,96,138,133,119,228,108,114,71,155,78,137,100,92,58,57,93,103,62,86,75,145,83,91,45,21,159,22,110,15,243,292,40,240
PSTN,Parasubthalamic nucleus,Hypothalamus,3000,2101,3850,1417,2357,773,2620,2136,1476,1514,2037,2761,4890,2574,2306,3028,714,1850,2052,1867,1993,1832,1677,1856,649,1553,879,1490,1225,1539,1343,1812,3696,4229,4886,6774,2435,3401,2068,4448,1866,2692,1824,1893,1924,1503,2126,2563,1555,1847,1700,2945,3175,3332,2999,1455,1809,1144,1321,383,4829,5815,1567,4986
PeF,Perifornical nucleus,Hypothalamus,1896,888,4195,1804,2240,1947,3366,1151,297,961,1257,2078,4339,1614,1549,1550,559,1868,2656,2245,1647,673,1637,1202,424,1092,1397,1352,1142,1484,1871,1111,2954,3088,1289,3049,2282,2898,1344,3549,2459,3295,2155,1837,1872,1585,2350,1912,863,889,934,2178,1236,1679,2945,547,3106,797,1281,102,2670,1941,1170,5032
RCH,Retrochiasmatic area,Hypothalamus,355,1367,1524,454,917,1800,94,563,464,335,208,1218,857,664,731,897,269,873,435,498,238,484,307,445,249,251,221,631,464,306,75,180,1156,1127,1570,2816,673,795,743,732,447,507,415,374,577,532,1376,585,63,7,261,192,443,2310,312,635,1416,191,653,246,584,1204,1711,3582
STN,Subthalamic nucleus,Hypothalamus,437,71,1498,223,96,351,796,545,87,1514,420,363,245,676,454,236,268,151,319,288,1746,580,329,278,55,75,132,202,137,373,198,81,176,57,100,295,864,1801,281,497,578,1170,245,490,232,207,770,805,114,390,415,449,48,163,67,21,575,342,680,140,129,190,25,341
TU,Tuberal nucleus,Hypothalamus,1915,4293,7326,2910,2835,4592,2408,1927,1961,1366,2827,4299,8326,2667,3290,2300,1591,2289,2047,2246,2254,2436,1134,2517,991,1983,708,2544,1496,813,782,330,5319,4196,4567,7136,5117,2871,2859,6367,1745,3216,4210,2688,2933,4393,4543,4263,345,1142,1186,3196,4755,4454,3298,2280,4326,1396,2684,1281,5109,5520,6685,5803
ZI,Zona incerta,Hypothalamus,9344,8228,18233,4391,6706,4378,12259,6036,1467,19473,5094,3622,9164,7732,2822,6351,1520,5572,13410,8690,7404,4988,6337,2672,1965,4371,5788,4152,5220,6236,7231,6203,8449,4919,4182,12426,9584,16433,7997,13144,11442,14460,8648,11261,8925,8660,13941,11571,4733,4409,3412,11216,3938,6283,5257,2045,8462,4285,6052,528,5078,4307,1736,14828
ME,Median eminence,Hypothalamus,4,14,207,23,1,96,2,41,101,184,5,15,32,0,36,192,26,11,1,19,16,413,1,390,15,19,0,271,3,0,3,4,0,5,404,200,202,10,3,20,1,5,24,16,15,21,119,103,0,0,31,0,24,19,107,246,247,10,38,64,95,80,101,6
LHA,Lateral hypothalamic area,Hypothalamus,12804,7455,30721,10668,14001,12243,19559,9895,3310,11598,9925,13368,28460,13849,11667,13102,4304,9382,12728,12711,13892,9305,8921,9247,3826,7970,7666,8135,6589,8437,9232,6978,18482,17812,14724,24653,11535,18508,8294,22111,12507,18074,13111,11703,10990,8400,12819,14066,4035,6826,6978,13851,9158,13580,13262,5914,17230,5923,10461,1454,16751,15049,7419,26671
AHN,Anterior hypothalamic nucleus,Hypothalamus,7180,5411,14200,7868,8017,9959,10750,3634,1068,3797,5065,5803,14214,4842,5310,7813,2618,6879,8270,5848,7736,3256,5048,4847,1843,5087,5146,4121,4975,6337,7403,4343,9572,13635,5804,10366,6770,9021,4849,10281,9618,9765,6786,6330,6337,5489,7827,5342,3756,4275,3062,8620,3642,7567,8507,3760,11873,2215,5536,996,8850,7499,6402,22259
PS,Parastrial nucleus,Hypothalamus,2120,2372,3841,1189,2465,890,1135,1960,171,806,467,1175,1773,948,1529,3494,805,697,1238,1161,768,1170,801,946,300,1171,782,932,1099,1081,1284,974,1023,1694,1061,1356,1049,1509,1028,1729,1233,1417,1445,2096,2071,801,1843,1590,474,448,942,1648,1084,1234,1210,820,1343,293,863,150,1647,1536,753,2952
VMPO,Ventromedial preoptic nucleus,Hypothalamus,205,1086,1133,271,633,882,753,565,411,124,109,580,434,106,466,522,272,599,477,308,306,287,297,222,425,364,209,359,468,163,257,119,704,2379,1565,1408,470,260,669,798,457,375,551,403,803,749,868,597,34,58,403,295,294,1655,419,582,312,170,235,116,412,937,728,1124
VLPO,Ventrolateral preoptic nucleus,Hypothalamus,179,623,1345,461,425,1025,461,676,294,136,83,560,273,250,386,337,311,555,240,256,263,156,192,158,201,281,96,320,193,116,188,66,614,1565,2041,1342,530,319,534,355,312,335,201,304,380,287,672,405,49,32,312,207,379,1522,854,793,380,215,268,84,485,1816,1349,1751
SO,Supraoptic nucleus,Hypothalamus,143,420,850,298,420,343,94,88,139,138,197,225,84,291,385,392,188,302,209,239,214,119,134,188,153,133,87,114,101,162,134,55,366,666,466,523,277,281,256,517,373,478,228,222,310,422,417,393,70,42,163,143,184,1380,358,262,275,115,229,77,181,667,958,1048
ASO,Accessory supraoptic group,Hypothalamus,94,78,133,89,120,74,137,40,19,37,47,37,120,56,51,157,48,70,103,46,87,38,62,86,33,136,87,80,100,72,91,81,209,195,76,147,66,116,68,125,115,101,104,81,57,58,125,86,52,27,45,144,35,91,144,69,171,29,57,7,151,181,132,209
PVH,Paraventricular hypothalamic nucleus,Hypothalamus,2293,2720,6731,3715,2495,1641,6413,1330,857,1818,2933,1511,4200,3522,2442,3500,1215,2501,2961,2700,2712,987,2394,1996,1117,1804,2757,1663,2038,1974,3663,1968,3592,4943,2921,8397,2526,3195,2825,4613,2535,3496,3159,2243,3013,2066,2730,1956,2223,2899,1326,2782,2609,3517,3463,3282,3572,693,1912,351,4187,3007,1014,7732
PVa,Periventricular hypothalamic nucleus anterior part,Hypothalamus,340,761,2044,933,862,412,683,470,369,221,479,490,933,397,815,801,327,649,629,425,650,418,571,665,210,479,522,241,361,365,548,344,52,799,86,395,580,612,594,1429,812,862,961,801,953,551,1021,811,340,464,247,618,211,104,112,142,612,33,632,68,353,237,114,316
PVi,Periventricular hypothalamic nucleus intermediate part,Hypothalamus,1551,1678,4832,2110,1627,874,3649,640,580,1425,784,1677,2323,988,1352,1318,637,1307,1410,1058,2101,1626,1217,1458,733,614,1384,537,878,1236,1247,699,252,899,371,2802,1540,1195,1401,3277,1061,2563,2277,1407,1459,550,1992,1690,1119,990,755,711,764,422,689,288,2663,301,1373,150,1364,449,347,1220
ADP,Anterodorsal preoptic nucleus,Hypothalamus,1374,2646,3338,1950,1891,936,1273,1050,188,1073,480,493,1695,878,854,2518,479,1153,1166,1478,724,1217,874,925,545,1197,1405,751,1170,1354,1719,691,1142,699,1166,3649,1074,1526,757,1149,2109,1626,1911,2134,2152,1527,2064,1487,509,522,1005,1688,1068,1562,1335,1602,1666,511,694,59,1404,3428,372,3069
AVP,Anteroventral preoptic nucleus,Hypothalamus,552,843,1916,1028,1228,1433,1015,794,57,665,68,880,1189,342,812,1051,277,976,771,1020,477,323,433,424,351,877,505,562,763,419,943,426,304,438,371,880,579,1243,428,954,1009,1204,771,605,699,431,701,754,184,199,524,685,467,609,494,230,783,102,698,10,430,651,372,1505
AVPV,Anteroventral periventricular nucleus,Hypothalamus,1147,2058,3229,378,1660,2704,1316,1553,243,974,141,1945,576,344,1465,1676,545,1472,867,613,339,296,506,432,548,802,399,773,1152,264,1053,320,747,2474,1147,2640,616,915,601,2019,1100,1730,1131,1089,1384,1094,1441,1268,195,141,701,809,449,1012,838,1164,719,137,1009,58,660,1895,587,2200
DMH,Dorsomedial nucleus of the hypothalamus,Hypothalamus,8336,6341,17555,9069,6355,5066,12924,3872,1403,2402,3715,5332,11164,5549,5439,7756,1954,6078,6914,5144,10128,3406,4443,4447,3048,4205,4940,4772,3581,5610,7059,4272,6185,9805,5599,18168,6258,6577,5833,13282,7722,8839,8025,5437,6923,6669,7938,7158,3727,4280,2823,6139,8422,6542,7402,5677,8371,2310,4883,629,10021,7692,4347,13010
ARH,Arcuate hypothalamic nucleus,Hypothalamus,1729,4557,6635,2255,1142,1802,267,678,1933,940,915,2581,2643,952,2023,2432,1098,2763,1281,1755,645,1904,496,1757,1012,1463,1025,2129,1479,720,585,150,1755,1922,2088,4467,4147,1541,1352,5438,1029,2853,2860,1060,1868,818,4678,2240,422,29,579,697,1404,780,750,1818,3082,326,1069,627,1809,1567,2218,2482
MPO,Medial preoptic area,Hypothalamus,4379,5872,10100,5544,7229,8222,6695,4729,661,4428,2742,5581,7640,3280,4442,6958,2291,4920,4565,5425,3490,2779,2945,3027,1839,3857,3304,2802,4050,3447,5507,2685,4120,4910,3473,8925,3828,7114,3309,6851,5845,6802,6033,5772,6170,4224,6284,5455,2142,1860,3022,5718,3298,5172,3677,3348,5129,1379,3643,491,4789,5155,3152,11646
OV,Vascular organ of the lamina terminalis,Hypothalamus,23,40,98,1,73,226,10,63,3,50,12,56,2,1,32,75,8,9,1,12,12,10,7,18,1,6,13,13,18,0,21,13,14,57,29,5,22,23,11,83,35,17,8,23,30,14,38,19,4,1,16,15,3,11,3,5,18,0,32,1,12,9,6,184
PD,Posterodorsal preoptic nucleus,Hypothalamus,134,120,314,194,294,177,294,178,45,85,130,106,315,171,104,185,72,86,194,123,141,163,153,160,12,60,59,77,90,130,132,124,190,95,138,295,126,123,154,278,85,83,79,126,264,189,243,152,57,61,103,294,179,166,112,56,159,93,150,20,335,178,89,292
PVp,Periventricular hypothalamic nucleus posterior part,Hypothalamus,480,869,2696,454,325,892,34,496,290,536,403,375,472,198,540,468,299,458,165,321,186,1475,33,983,429,358,254,522,157,166,219,17,756,452,504,752,580,409,133,769,199,600,514,236,92,193,354,712,27,18,274,175,510,283,409,529,1103,147,215,429,562,516,427,633
PVpo,Periventricular hypothalamic nucleus preoptic part,Hypothalamus,1301,1796,3865,1419,1567,1852,1530,1229,342,746,521,2378,2475,760,2075,2106,863,1364,1428,1239,1050,622,1183,1228,600,1041,997,600,760,803,1704,640,1123,2069,1127,2788,1262,1393,1029,3329,1539,2094,1762,1707,1602,1404,1463,1415,589,1079,1054,1028,622,1610,1124,304,1105,161,1738,122,998,869,565,2559
SBPV,Subparaventricular zone,Hypothalamus,1651,1561,4391,2043,1709,1937,2496,1360,685,532,1184,1022,2090,1409,1363,2360,792,1871,1582,1087,1961,888,1039,1180,495,971,1268,926,1035,1387,1777,1006,1389,2945,752,1736,1338,1592,1259,2507,1620,1812,1673,1199,1886,1233,1369,1204,694,693,526,1846,726,1031,964,820,2527,340,917,359,1665,1505,851,2789
SCH,Suprachiasmatic nucleus,Hypothalamus,160,774,1416,612,757,938,198,434,561,174,69,487,427,297,894,503,365,883,550,239,274,386,362,397,443,531,504,789,635,318,504,212,52,875,114,1884,751,798,861,1349,292,434,594,455,119,261,985,368,68,18,279,609,350,481,24,457,500,75,545,227,267,227,369,1253
MEPO,Median preoptic nucleus,Hypothalamus,332,606,792,512,430,307,389,186,43,469,129,259,353,174,220,420,46,145,140,243,310,178,195,102,51,239,175,39,272,100,368,139,205,76,67,105,106,324,147,546,394,422,381,283,474,266,520,379,134,166,101,304,160,155,80,139,265,94,211,12,141,144,34,501
SFO,Subfornical organ,Hypothalamus,59,54,185,40,132,37,116,15,18,433,29,48,112,33,5,5,25,7,13,64,77,4,26,1,34,1,2,2,3,1,5,1,0,10,0,0,2,3,34,96,23,21,20,9,21,18,52,72,2,5,4,15,3,5,0,11,22,7,14,7,3,0,0,0
NTB,Nucleus of the trapezoid body,MidHindMedulla,16,18,88,15,80,285,107,20,10,267,45,19,26,14,57,432,24,56,79,36,3,90,106,46,29,39,60,14,17,9,0,2,10,33,62,29,0,9,8,6,22,44,4,21,22,13,25,29,12,4,4,63,19,136,53,21,60,7,3,2,12,71,61,332
NTS,Nucleus of the solitary tract,MidHindMedulla,7721,7121,3573,1702,3656,345,378,1296,445,1408,1735,2861,2078,2304,5189,441,1017,4404,4894,3315,3944,3289,3049,908,1633,3664,165,587,499,1226,2583,3199,3021,2816,2598,10504,3727,4184,4061,8163,3527,4785,4969,3867,3934,4419,4069,3797,3302,381,2621,7434,678,1965,1947,5124,2853,475,1056,410,3324,1001,584,4476
SPVC,Spinal nucleus of the trigeminal caudal part,MidHindMedulla,2661,4860,23613,2604,4039,55,3695,1372,574,788,810,1743,4394,1959,980,1235,2216,4484,3164,2720,3605,3792,2284,1569,731,1347,67,167,266,1228,1598,2341,1375,452,794,7726,2120,3296,3099,5446,1872,3506,2505,4564,2368,4680,2684,2630,1935,1241,3801,4155,294,1172,825,2702,1423,2247,253,695,2866,845,181,3911
SPVI,Spinal nucleus of the trigeminal interpolar part,MidHindMedulla,1804,3989,4618,713,2559,638,2663,870,674,1886,911,607,841,1704,2088,885,987,2374,1456,1541,679,739,1307,1572,1464,1753,414,347,366,484,1044,1391,937,228,300,3149,1023,1195,1664,2312,851,1275,953,2283,1109,1424,802,1537,1398,573,1548,2281,174,513,609,817,3266,1127,1168,443,1041,590,218,1960
VII,Facial motor nucleus,MidHindMedulla,150,1013,1490,369,851,854,615,268,93,1129,72,168,361,111,575,246,131,479,806,403,99,310,231,158,148,442,171,241,174,38,61,53,328,314,281,400,186,683,203,792,453,597,196,614,378,323,681,387,127,182,52,687,91,270,190,352,530,169,189,34,169,181,120,633
Pa5,Paratrigeminal nucleus,MidHindMedulla,35,46,586,32,7,34,343,65,19,98,129,8,16,40,13,17,9,157,47,88,14,11,14,5,21,33,20,38,3,2,19,3,119,43,162,67,0,8,0,8,14,5,2,12,20,31,29,10,5,12,92,412,3,91,75,48,243,16,27,5,163,40,71,40
VI,Abducens nucleus,MidHindMedulla,30,47,259,48,137,46,0,105,1,73,49,62,33,56,70,7,1,9,40,38,21,33,112,2,10,8,13,17,18,16,42,34,14,10,19,71,165,59,30,285,78,106,44,38,79,47,113,67,17,67,16,19,3,19,5,5,27,255,6,2,12,0,25,22
ACVII,Accessory facial motor nucleus,MidHindMedulla,12,5,14,10,6,12,0,9,0,6,0,7,4,5,8,25,5,2,5,8,0,9,1,1,0,4,1,14,8,3,0,0,5,0,0,14,3,7,2,9,5,5,2,15,9,0,5,1,7,7,1,8,0,11,5,8,2,0,0,0,0,3,0,31
ECU,External cuneate nucleus,MidHindMedulla,418,861,581,249,170,8,465,324,16,183,199,221,230,117,165,48,82,440,365,434,216,237,175,68,44,160,184,139,205,12,221,62,219,157,466,186,26,48,75,108,107,322,183,439,305,241,363,616,102,45,67,193,37,160,109,117,123,15,490,5,52,132,104,224
SPVO,Spinal nucleus of the trigeminal oral part,MidHindMedulla,575,914,1100,264,798,752,637,323,197,1362,219,137,399,273,487,308,195,847,480,433,96,253,459,492,123,210,129,50,183,187,91,271,195,114,124,785,441,666,359,500,406,362,254,485,464,157,389,110,240,148,230,901,19,230,43,497,752,282,183,80,224,418,80,900
GR,Gracile nucleus,MidHindMedulla,69,138,592,228,8,0,78,148,27,77,504,245,1990,23,28,1,10,151,22,95,0,101,4,11,3,16,1,9,46,0,17,2,90,157,29,171,79,20,57,80,22,105,75,26,30,61,113,242,12,8,9,85,21,136,93,67,0,22,12,1,80,587,111,108
LDT,Laterodorsal tegmental nucleus,MidHindMedulla,1833,1267,2553,825,1013,563,42,1359,1,884,584,568,721,1299,631,429,791,1386,2402,1896,705,920,1222,767,332,967,606,401,896,740,1961,649,642,1151,856,2526,895,2780,1555,3092,2584,3050,1824,2626,1611,2261,2272,2525,978,827,274,1718,838,398,278,545,2382,996,1218,183,759,326,230,1576
VCO,Ventral cochlear nucleus,MidHindMedulla,58,233,637,278,94,492,466,220,162,1651,117,310,437,289,279,258,119,293,239,309,93,101,175,80,164,232,228,113,59,43,140,61,566,86,932,723,356,282,546,875,281,507,205,106,202,372,249,116,188,138,60,406,125,598,304,470,563,107,109,133,611,169,212,614
DCO,Dorsal cochlear nucleus,MidHindMedulla,192,305,1011,179,123,161,537,275,108,994,153,99,1273,132,234,463,88,500,500,981,165,56,83,49,102,647,542,349,380,61,118,158,476,309,804,1137,772,233,734,1031,596,677,194,236,670,322,265,218,179,124,126,922,174,144,216,833,452,46,90,49,381,89,135,267
AP,Area postrema,MidHindMedulla,247,236,18,192,67,0,2,110,20,61,345,431,302,42,34,0,31,88,37,253,0,342,42,3,54,68,2,2,12,5,42,50,86,10,5,228,49,40,55,191,261,352,390,243,376,481,505,288,53,5,209,172,29,96,107,72,9,0,19,2,22,175,98,95
SLD,Sublaterodorsal nucleus,MidHindMedulla,409,337,738,76,418,40,9,156,10,128,78,161,86,72,197,77,60,150,332,223,151,97,131,63,134,69,84,64,37,104,191,95,109,362,124,466,287,485,356,662,282,537,382,284,322,377,371,368,188,49,47,236,69,43,238,93,313,121,67,3,58,65,61,172
SLC,Subceruleus nucleus,MidHindMedulla,201,298,338,60,244,53,13,175,2,86,93,147,57,48,229,258,48,94,334,159,50,43,62,66,34,33,34,89,22,26,93,42,67,176,62,138,268,258,139,558,157,208,129,125,116,96,150,163,171,34,16,148,16,19,51,16,122,37,14,2,22,3,37,65
RPO,Nucleus raphe pontis,MidHindMedulla,276,179,562,359,449,39,51,334,94,366,159,240,239,263,332,115,105,232,236,341,175,78,193,82,25,127,146,57,67,132,193,71,376,143,157,676,207,469,225,866,536,576,249,298,338,529,534,382,133,215,48,311,37,93,80,32,316,105,233,14,215,221,141,338
